CHEBI:90	#(-)-epicatechin
CHEBI:70255	#(-)-epicatechin-3-O-gallate
CHEBI:42255	#(-)-epigallocatechin
CHEBI:76132	#(+)-catechin 3-O-gallate
CHEBI:31018	#(+)-gallocatechin
CHEBI:67347	#(+)-pisatin
CHEBI:4806	#(−)-epigallocatechin 3-gallate
CHEBI:108	#(−)-phaseolin
CHEBI:57455	#(6R)-5,10-methenyltetrahydrofolate
CHEBI:132141	#1,2-napthoquinone
CHEBI:132142	#1,4-napthoquinone
CHEBI:166897	#3-arylcoumarin
CHEBI:88354	#3-hydroxyphloretin-2'-o-xylosyl-glucoside
CHEBI:70254	#3'-o-methylepicatechin
CHEBI:70253	#4'-o-methylepigallocatechin
CHEBI:70256	#4'-o-methylepigallocatechin-3-O-gallate
CHEBI:29503	#4',7-dihydroxyflavone
CHEBI:15640	#5-formyltetrahydrofolic acid
CHEBI:2197	#6-hydroxyluteolin
CHEBI:66046	#6-hydroxyluteolin 7-o-rhamnoside
CHEBI:27566	#6-prenylnaringenin
CHEBI:77366	#6Z,9Z,12Z,15Z,18Z,21Z-tetracosahexaenoic acid
CHEBI:15366	#acetic acid
CHEBI:27632	#acetophenone
CHEBI:133348	#acetyl glycitin
CHEBI:166892	#aglycone
CHEBI:16449	#alanine
CHEBI:166964	#albumin type
CHEBI:22315	#alkaloid
CHEBI:166898	#allomelanin
CHEBI:28425	#alpha-carotene
CHEBI:10223	#alpha-cryptoxanthin
CHEBI:27432	#alpha-linolenic acid
CHEBI:22470	#alpha-tocopherol
CHEBI:33270	#alpha-tocotrienol
CHEBI:28984	#aluminium
CHEBI:33709	#amino acid
CHEBI:28057	#amylopectin
CHEBI:28102	#amylose
CHEBI:38695	#anthocyanidin
CHEBI:38697	#anthocyanin
CHEBI:38698	#anthocyanin chlorides
CHEBI:22580	#anthraquinone
CHEBI:30513	#antimony
CHEBI:18388	#apigenin
CHEBI:16689	#apiose
CHEBI:22590	#arabinan
CHEBI:22599	#arabinose
CHEBI:28427	#arabinoxylan
CHEBI:28822	#arachidic acid
CHEBI:15843	#arachidonic acid
CHEBI:18305	#arbutin
CHEBI:29016	#arginine
CHEBI:27563	#arsenic
CHEBI:22652	#ascorbic acid
CHEBI:22653	#asparagine
CHEBI:22660	#aspartic acid
CHEBI:47964	#aurone
CHEBI:166888	#avenasterol
CHEBI:27470	#b9 folate
CHEBI:2979	#baicalein
CHEBI:28941	#behenic acid
CHEBI:17579	#beta-carotene
CHEBI:67188	#beta-carotene-cis
CHEBI:10362	#beta-cryptoxanthin
