0 level,01st level ,2nd level,3rd level,4th level,5th level,6th level,Nutrition_tree_ID,[Level],ChEBI_ID,CDNO Relationships ,Synonym,,parent,parent ID,term,term ID,relationship
dietary nutritional component,,,,,,,0_ROOT,[0],n/a,root,,,,,dietary nutritional component,unspecified CHEBI term,is a
,water,,,,,,01_water,[1],CHEBI:15377,is a,,,dietary nutritional component,unspecified CHEBI term,water,CHEBI:15377,is a
,dry matter,,,,,,01_dry matter,[1],unspecified CHEBI term,is a,"solids, total",,dietary nutritional component,unspecified CHEBI term,dry matter,unspecified CHEBI term,is a
,ash,,,,,,01_ash,[1],ENVO:02000090,is a,,,dietary nutritional component,unspecified CHEBI term,ash,ENVO:02000090,is a
,carbohydrate,,,,,,01_carbohydrate,[1],CHEBI:16646,is a,Total carbohydrate (US),,dietary nutritional component,unspecified CHEBI term,carbohydrate,CHEBI:16646,is a
,,polysaccharide,,,,,02_polysaccharide,[2],CHEBI:18154,is a,,,carbohydrate,CHEBI:16646,polysaccharide,CHEBI:18154,is a
,,,starch ,,,,03_starch,[3],CHEBI:28017,is a,,,polysaccharide,CHEBI:18154,starch,CHEBI:28017,is a
,,,,amylopectin,,,04_amylopectin,[4],CHEBI:28057,derived from,,,starch,CHEBI:28017,amylopectin,CHEBI:28057,derived from
,,,,amylose ,,,04_amylose ,[4],CHEBI:28102,derived from,,,starch,CHEBI:28017,amylose,CHEBI:28102,derived from
,,,pectin,,,,03_pectin,[3],CHEBI:17309,is a,,,polysaccharide,CHEBI:18154,pectin,CHEBI:17309,is a
,,,,galacturonan,,,04_galacturonan,[4],CHEBI:24174,derived from,,,pectin,CHEBI:17309,galacturonan,CHEBI:24174,derived from
,,,,rhamnogalacturonan,,,04_rhamnogalacturonan,[4],CHEBI:26543,derived from,,,pectin,CHEBI:17309,rhamnogalacturonan,CHEBI:26543,derived from
,,,cellulose ,,,,03_cellulose ,[3],CHEBI:62967,is a,closest chebi term,,polysaccharide,CHEBI:18154,cellulose,CHEBI:62967,is a
,,,hemicellulose,,,,03_hemicellulose,[3],CHEBI:61266,is a,,,polysaccharide,CHEBI:18154,hemicellulose,CHEBI:61266,is a
,,,,mannan,,,04_mannan,[4],CHEBI:28808,derived from,,,hemicellulose,CHEBI:61266,mannan,CHEBI:28808,derived from
,,,,xylan,,,04_xylan,[4],CHEBI:37166,derived from,,,hemicellulose,CHEBI:61266,xylan,CHEBI:37166,derived from
,,,,xyloglucan ,,,04_xyloglucan ,[4],CHEBI:18233,derived from,,,hemicellulose,CHEBI:61266,xyloglucan,CHEBI:18233,derived from
,,,,glucomannan,,,04_glucomannan,[4],CHEBI:17020,derived from,,,hemicellulose,CHEBI:61266,glucomannan,CHEBI:17020,derived from
,,,,arabinoxylan,,,04_arabinoxylan,[4],CHEBI:28427,derived from,,,hemicellulose,CHEBI:61266,arabinoxylan,CHEBI:28427,derived from
,,,,fructan,,,04_fructan,[4],CHEBI:28796,derived from,,,hemicellulose,CHEBI:61266,fructan,CHEBI:28796,derived from
,,,,,inulin,,05_inulin,[5],CHEBI:15443,is a,,,fructan,CHEBI:28796,inulin,CHEBI:15443,is a
,,,,arabinan,,,03_arabinan,[4],CHEBI:22590,derived from,,,hemicellulose,CHEBI:61266,arabinan,CHEBI:22590,derived from
,,,,galactomannan,,,03_galactomannan,[4],CHEBI:27680,derived from,,,hemicellulose,CHEBI:61266,galactomannan,CHEBI:27680,derived from
,,,,galactan,,,03_galactan,[4],CHEBI:37165,derived from,,,hemicellulose,CHEBI:61266,galactan,CHEBI:37165,derived from
